대분류구분,중분류구분,소분류구분
밥류,쌀밥류,쌀밥
밥류,잡곡밥류,기타잡곡밥
밥류,잡곡밥류,콩밥
밥류,잡곡밥류,보리밥
밥류,잡곡밥류,돌솥밥
밥류,잡곡밥류,현미밥
밥류,잡곡밥류,흑미밥
밥류,채소밥류,감자밥
밥류,채소밥류,곤드레밥
밥류,"비빔밥,볶음밥류",김치볶음밥
밥류,"비빔밥,볶음밥류",주먹밥
밥류,"비빔밥,볶음밥류",볶음밥
밥류,"비빔밥,볶음밥류",일반비빔밥
밥류,"비빔밥,볶음밥류",전주비빔밥
밥류,"비빔밥,볶음밥류",삼선볶음밥
밥류,"비빔밥,볶음밥류",새우볶음밥
밥류,"비빔밥,볶음밥류",알밥
밥류,"비빔밥,볶음밥류",산채비빔밥
밥류,"비빔밥,볶음밥류",오므라이스
밥류,"비빔밥,볶음밥류",육회비빔밥
밥류,"비빔밥,볶음밥류",해물볶음밥
밥류,"비빔밥,볶음밥류",열무비빔밥
밥류,"덮밥,국밥류",불고기덮밥
밥류,"덮밥,국밥류",소고기국밥
밥류,"덮밥,국밥류",송이덮밥
밥류,"덮밥,국밥류",오징어덮밥
밥류,"덮밥,국밥류",자장밥
밥류,"덮밥,국밥류",잡채밥
밥류,"덮밥,국밥류",잡탕밥
밥류,"덮밥,국밥류",장어덮밥
밥류,"덮밥,국밥류",제육덮밥
밥류,"덮밥,국밥류",짬뽕밥
밥류,"덮밥,국밥류",순대국밥
밥류,"덮밥,국밥류",카레라이스
밥류,"덮밥,국밥류",전주콩나물국밥
밥류,"덮밥,국밥류",해물덮밥
밥류,"덮밥,국밥류",회덮밥
밥류,"덮밥,국밥류",소머리국밥
밥류,"덮밥,국밥류",돼지국밥
밥류,"덮밥,국밥류",하이라이스
밥류,김밥/초밥,김치김밥
밥류,김밥/초밥,농어초밥
밥류,김밥/초밥,문어초밥
밥류,김밥/초밥,새우초밥
밥류,김밥/초밥,새우튀김롤
밥류,김밥/초밥,샐러드김밥
밥류,김밥/초밥,광어초밥
밥류,김밥/초밥,소고기김밥
밥류,김밥/초밥,갈비삼각김밥
밥류,김밥/초밥,연어롤
밥류,김밥/초밥,연어초밥
밥류,김밥/초밥,유부초밥
밥류,김밥/초밥,장어초밥
밥류,김밥/초밥,참치김밥
밥류,김밥/초밥,참치마요삼각김밥
밥류,김밥/초밥,치즈김밥
밥류,김밥/초밥,캘리포니아롤
밥류,김밥/초밥,한치초밥
밥류,김밥/초밥,일반김밥
"면, 만두류",면류,간자장
"면, 만두류",면류,굴짬뽕
"면, 만두류",면류,기스면
"면, 만두류",면류,김치라면
"면, 만두류",면류,김치우동
"면, 만두류",면류,김치말이국수
"면, 만두류",면류,닭칼국수
"면, 만두류",면류,들깨칼국수
"면, 만두류",면류,떡라면
"면, 만두류",면류,라면
"면, 만두류",면류,막국수
"면, 만두류",면류,메밀국수
"면, 만두류",면류,물냉면
"면, 만두류",면류,비빔국수
"면, 만두류",면류,비빔냉면
"면, 만두류",면류,삼선우동
"면, 만두류",면류,삼선자장면
"면, 만두류",면류,삼선짬뽕
"면, 만두류",면류,수제비
"면, 만두류",면류,쌀국수
"면, 만두류",면류,열무김치국수
"면, 만두류",면류,오일소스스파게티
"면, 만두류",면류,일식우동
"면, 만두류",면류,볶음우동
"면, 만두류",면류,자장면
"면, 만두류",면류,잔치국수
"면, 만두류",면류,짬뽕
"면, 만두류",면류,짬뽕라면
"면, 만두류",면류,쫄면
"면, 만두류",면류,치즈라면
"면, 만두류",면류,콩국수
"면, 만두류",면류,크림소스스파게티
"면, 만두류",면류,토마토소스스파게티
"면, 만두류",면류,해물칼국수
"면, 만두류",면류,회냉면
"면, 만두류",면류,떡국
"면, 만두류",면류,떡만둣국
"면, 만두류",면류,짜장라면
"면, 만두류",만두류,고기만두
"면, 만두류",만두류,군만두
"면, 만두류",만두류,김치만두
"면, 만두류",만두류,물만두
"면, 만두류",만두류,만둣국
"죽, 스프류",죽류,게살죽
"죽, 스프류",죽류,깨죽
"죽, 스프류",죽류,닭죽
"죽, 스프류",죽류,소고기버섯죽
"죽, 스프류",죽류,어죽
"죽, 스프류",죽류,잣죽
"죽, 스프류",죽류,전복죽
"죽, 스프류",죽류,참치죽
"죽, 스프류",죽류,채소죽
"죽, 스프류",죽류,팥죽
"죽, 스프류",죽류,호박죽
"죽, 스프류",스프류,콘스프
"죽, 스프류",스프류,토마토스프
"국, 탕, 찌개류",맑은국류,굴국
"국, 탕, 찌개류",맑은국류,김치국
"국, 탕, 찌개류",맑은국류,달걀국
"국, 탕, 찌개류",맑은국류,감자국
"국, 탕, 찌개류",맑은국류,미역국
"국, 탕, 찌개류",맑은국류,바지락조개국
"국, 탕, 찌개류",맑은국류,소고기무국
"국, 탕, 찌개류",맑은국류,소고기미역국
"국, 탕, 찌개류",맑은국류,순대국
"국, 탕, 찌개류",맑은국류,어묵국
"국, 탕, 찌개류",맑은국류,오징어국
"국, 탕, 찌개류",맑은국류,토란국
"국, 탕, 찌개류",맑은국류,탕국
"국, 탕, 찌개류",맑은국류,홍합미역국
"국, 탕, 찌개류",맑은국류,황태해장국
"국, 탕, 찌개류",된장국류,근대된장국
"국, 탕, 찌개류",된장국류,미소된장국
"국, 탕, 찌개류",된장국류,배추된장국
"국, 탕, 찌개류",된장국류,뼈다귀해장국
"국, 탕, 찌개류",된장국류,선지(해장)국
"국, 탕, 찌개류",된장국류,콩나물국
"국, 탕, 찌개류",된장국류,시금치된장국
"국, 탕, 찌개류",된장국류,시래기된장국
"국, 탕, 찌개류",된장국류,쑥된장국
"국, 탕, 찌개류",된장국류,아욱된장국
"국, 탕, 찌개류",된장국류,우거지된장국
"국, 탕, 찌개류",된장국류,우거지해장국
"국, 탕, 찌개류",된장국류,우렁된장국
"국, 탕, 찌개류",곰국/탕류,갈비탕
