recipe_id,ingredient,amount
0,쌀눈곤약미,3컵
0,쌀,1컵
0,강황곤약미,3컵
0,쌀,1컵
0,아로니아곤약미,3컵
0,쌀,1컵( 계량은 소주잔 )
0,밥물 각,1+1/2종이컵
1,밥물 계량컵으로,2+1/2컵
1,홍국쌀,1종지
1,쌀,10종지
2,잡곡쌀,2컵
2,물,2컵
3,통깨,1작은술
3,참기름,1/2큰술
3,맛술,1큰술
3,간장,2큰술
3,달래,10g
3,당근,30g
3,백미,1컵
3,감자(작은것),2개
3,시래기(물기짠거),100g
3,찰보리,1/2컵
3,현미,1/2컵
3,식초(선택),1작은술
3,건표고,10g
4,쌀,1공기
4,물,3공기 정도
4,귀리,4큰술
4,수수,4큰술
5,멥쌀,2컵
5,차 좁쌀,50g
5,찰수수 쌀,50g
5,밥물,430ml(2컵+2큰술)
6,단호박,
6,각종잡곡,
6,쌀,
6,물,
7,병아리콩,500g
7,쌀,2컵
7,소금,1작은술
8,흰강낭콩(네이비빈),200g
8,쌀,300g
9,물,
9,백미,
9,완두콩,
10,쌀,
10,찰현미,
10,완두콩,
10,물,
11,쌀,1컵
11,렌틸콩,2큰술
11,물,1컵 등(1인분 )
12,다진파,4큰술
12,멥쌀2컵 찰보리쌀,3컵
12,참기름,2큰술
12,쌀뜨물,3컵
12,다진마늘,2큰술
12,홍고추,1개
12,설탕,1큰술
12,양파,1/2개
12,표고버섯,5개
12,애호박,1/2개
12,풋고추,3개
12,멸치가루,3큰술
12,고추장,1큰술
12,된장,6큰술
13,보리쌀,1+1/2컵
13,쌀,1/2컵
13,감자(중사이즈),3개
13,물,2컵
14,쌀,3컵
14,밥물은 쌀의,1.2배
14,새싹보리분말,1/2큰술 등
15,들기름,1t
15,물,1+1/2종이컵
15,꽃소금,1/2t
15,불린 보리쌀,1/2종이컵
15,데친곤드레나물,200g
15,불린 멥쌀,1/2종이컵
16,통깨,1큰술
16,소금,1큰술
16,찹쌀풀,200g
16,생강가루,1티스푼
16,설탕,4큰술
16,다진마늘,3큰술
16,멸치액젓,6큰술
16,굵은소금,300g
16,홍고추,10개
16,양파,1개
16,열무,3단
16,고추가루,6큰술
17,물,3숟가락
17,홍고추,1/3개
17,통깨,약간
17,다진파,약간
17,참기름,1숟가락
17,간장,3숟가락
17,표고버섯,2장
17,당근,20g
17,애호박,1/5개
17,양파,1/6개
17,배추,2장
17,새송이버섯,1/2개
17,불린쌀,1종이컵
18,쌀,1컵
18,물,1+1/4컵
18,대추,1개
19,모짜렐라피자치즈,3T
19,참기름,0.5T
19,콘옥수수,1T
19,치즈,3T
19,다진파,0.5T
19,다진양파,2T
19,고추참치 작은거,1개
19,다진당근,0.5T
20,쌀,1컵
20,찹쌀,0.5컵
20,물,1.7컵
21,매실청,1큰술
21,멸치다시육수(물),2큰술
21,다진마늘,1작은술
21,다진파,1큰술
21,고추가루,1/2큰술
21,참기름,1큰술
21,고추장아찌,5개
21,느타리버섯,40g
21,물,1+1/2컵
21,당근,30g
21,참기름,1큰술
21,표고버섯,1개
21,잡곡,1/2컵
21,멥쌀,1컵
21,굴,150g
22,다진마늘,1작은술
22,들기름,1큰술
22,국간장,1작은술
22,들기름,1작은술
22,마늘,1작은술
22,설탕,2/3큰술
22,맛술,1큰술
22,물,2컵
22,은행,10알
22,간장,1큰술
22,소고기 불고기감,150g
22,익은 김치,50g
22,삶은 시래기,100g
22,현미,2컵
23,물,5.5컵
23,소금,1작은술
23,현미,5컵
24,시래기,
24,현미,
24,콩,
25,현미,5컵
25,물,5+1/2컵
25,소금,1작은술
26,밤,4개
26,현미쌀,150g(종이컵으로 1컵)
26,백미,150g(종이컵으로 1컵)
27,쌀,3컵
27,흑미,1컵
28,쌀,2컵
28,감자,2개
28,소금,1꼬집
28,부추,1줌
28,간장,4T
28,다진마늘,1t
28,설탕,0.3t
28,참기름,1T
28,고춧가루,1T
28,통깨,0.5T
29,참기름,1큰술
29,다진마늘,1작은술
29,다진파(실파),1큰술
29,통깨,1큰술
29,간장,2큰술
29,소금,1/3작은술
29,들기름,1큰술
29,당근,25g
29,물,2컵
29,쌀,2인분
29,감자,120g
29,냉동곤드레,150g
30,통깨,1작은술
30,다진마늘,1/2작은술
30,달래,30g
30,달래,2큰술
30,맛술,1큰술
30,참기름,1큰술
30,간장,3큰술
30,다진파,1작은술
30,다진마늘,1작은술
30,참기름,1작은술
30,식초,2큰술
30,간장,1큰술
30,쇠고기다짐육,70g
30,당근,30g
30,표고버섯,2개
30,감자(중간크기),2개
30,물,적당량
30,연근,1/2개(90g)
30,쌀,4인분
30,설탕,1작은술
31,감자,
32,돼지감자,60~70g
32,쌀,2~3인분
33,참기름,1T
33,통깨,1T
33,다진마늘,0.5T
33,다진파,1.5T
33,매실청,1T
33,건곤드레,30g
33,국간장,2T
33,양조간장,4T
