recipe_id,step,recipe
0,1,"색상별로 흰 빛깔은 쌀눈곤약미, 노란 빛깔은 강황곤약미, 보라빛깔은 아로니아곤약미입니다."
0,2,곤약쌀밥 만드는 방법은 간단합니다. 일반 밥할 때와 똑같이 하시면 되구요. 쌀3:곤약쌀 1의 비율이면 됩니다. 저는 양을 적게 하려고 소주잔으로 계량했구요. 종이컵으로 계량하든 어떤 컵이든 비율만 맞으면 됩니다.
0,3,쌀을 먼저 씻어 물기를 제거하시구요.
0,4,쌀눈곤약미와 세척한 쌀을 넣어 물은 두 가지 쌀 양에 1.2배 넣어주시면 됩니다. 곤약미들은 세척해놓은 쌀이기에 세척할 필요가 없어요. 그대로 넣어주세요. 찜찜한 분들은 곤약미를 흐르는 물에 한번 세척해줘도 되구요. 곤약쌀들은 처음에는 뜨지만 조금 지나면 가라앉아요.
0,5,뚝배기밥들은 불을 처음부터 세게 안해도 되구요.
0,6,뚜껑이 없는 뚝배기들은 지름이 맞는 접시나 공기로 덮어주시면 됩니다.
0,7,밥물이 끓기 시작하면 불을 더 줄여주세요. 뚜껑을 덮을 때 완전히 닫지 않아야 밥물이 끓어 넘치지 않아요.
0,8,밥물이 완전히 줄어들면 10분 정도 약불로 하다가 불을 끄고 10분 정도 뜸을 들입니다. 만약 실패해서 밥이 설익었을 경우 물을 조금 더 부어 다시 약불에서 10분 정도 끓여주면 됩니다. 요런 밥들이 어려우신 분들은 그냥 전기밥솥 이용하시면 됩니다.
0,9,잘 섞어주세요. 쌀눈 곤약미입니다.
0,10,아로니아 곤약미입니다.
0,11,강황 곤약미입니다.
1,1,말그대로 붉은 빛깔의 홍국쌀입니다. 홍국쌀밥을 만드는 방법은 어떤 기구를 사용하든 쌀 10: 홍국쌀 1의 비율입니다. 저는 종지로 계량했습니다. 홍국쌀은 종지로 1개 계량하였구요. 씻지 말고 그대로 사용합니다.
1,2,쌀도 똑같이 같은 종지로 10번 퍼담으면 됩니다.
1,3,쌀 씻는 방법은 첫번째는 재빨리 씻어 물을 버리고 세번 정도 씻어 둡니다.
1,4,전기 압력밥솥에 씻은 쌀을 넣고 홍국쌀은 그대로 넣어줍니다. 물은 계량컵으로 2컵 반을 넣어주었습니다.
1,5,"쌀 양에 따라 물의 양은 달라지는데, 손을 담궈보아 손등까지 올라오게끔 부어주면 됩니다. 보통 쌀에서 1cm 이상 물이 올라옵니다. 압력 밥솥이 아닌 경우는 물을 좀더 많이 잡아야 하고요."
1,6,쾌속으로 20분 완성하였습니다. 주걱으로 잘 섞어주시구요.
2,1,"압력솥에 잡곡쌀과 물을 1:1 비율로 넣어주세요.저는 거의 공식처럼(?) 밥을 하는데요. 쌀과 잡곡의 비율은 7:3으로, 물과 쌀은 1:1 로요. 고슬고슬함과 된밥의 경계에 있는 밥을 좋아하는 분들도 계시지요? 그럴 땐 물을 조금 적게 해서 1:0.8 정도로 잡아주면 돼요."
2,2,뚜껑을 완전히 밀폐한 뒤 센 불로 가열해주세요.
2,3,압력 표시기가 빨갛게 변하면 약불로 줄여 5분간 가열해준 뒤 불을 꺼주세요. 10분간 그대로 두며 뜸을 들여주세요.
2,4,불을 끈 뒤엔 10분 정도 뜸을 들였다 열어주면 되는데요. 증기가 완전히 배출된 것을 확인한 뒤 뚜껑을 오픈해주셔요.
3,1,"백미,현미,찰보리는 섞어 깨끗이 씻어 1시간이상 불려주시고 건표고는 따뜻한물에 불려주시고 시래기는 적당히(5~6cm)길이로 썰어주시고 감자는 4등분해 준비해주세요 말린시래기는 찬물에 1시간정도 담가주신후에 3~4번 씻은다음 압력밥솥에 넣어 물 을 넉넉히 붓고 밥하듯이 해주시면 된답니다~"
3,2,"불린쌀에 물을 동량보다 조금 적게 넣어주신후에 시래기,감자,당근,표고버섯을 넣어 주세요 (여기에 소금을 살짝 넣어 밥을 하셔도 좋아요)"
3,3,가마솥 뚜껑을 덮어주신후에 물이 부르르 끓어오르면 중약불로 줄여20분정도 뜸을 들여주세요~ 뜸을 들이면서 누룽지가 만들어져 아주 맛나지요~
3,4,달래양념장은 양념장재료를 모두 섞어 준비해주시구요~
3,5,가마솥밥 완성입니다~~ 그릇에 담고 달래양념장에 넣어 쓱싹 비벼드시면 넘 맛나지요~
4,1,귀리와 수수는 물에 1시간 정도 불려주세요. 쌀은 불리지 않고 씻어주었어요.
4,2,"압력솥에 귀리, 수수, 쌀을 넣고 물을 자작하게 부어주세요."
4,3,뚜껑을 덮어 센 불에서 끓이다 추가 돌아가면 약불로 줄여 밥을 지어주세요.
4,4,김이 빠지면 뚜껑을 열고 밥을 고루 섞어주세요.
4,5,"밥을 짓는 사이 무생채 나물과 부추무침은 만들어봤어요~ 무생채 나물은 채썰은 무에 고춧가루, 소금, 설탕 약간, 멸치액젓 조금, 파, 마늘 마지막으로 볶음참깨를 넣고 조물조물 무쳐주었고,"
4,6,"그리고 부추무침은 적당한 길이로 썬 다음 참기름, 소금, 고춧가루, 볶음참깨를 넣고 살짝 버무려주었답니다!"
4,7,촉촉하고 쫀득한 맛있는 밥이 완성되어 미리 끓여 놓았던 된장찌개도 함께 담아 부지런히 한상 차려봤어요~
5,1,"멥쌀2컵(1컵=180g), 차좁쌀50g, 찰수수쌀50g, 밥물2컵(1컵=200ml) +2큰술큰냄비를 준비했어요. 밥물이 흘러넘치면 밥맛이 적어지더라고요"
5,2,수수쌀씻어서 1시간 불려줍니다.수수쌀 불린물로 밥물 잡지 말아요. 떫은맛이 있어요.
5,3,쌀은 씻어서 30분 불려줍니다. 좁쌀은 씻어 일어서 바로 건져놓아요쌀 불린물로 밥물 잡아요
5,4,수수쌀은 푹 익어야 더 맛있는 잡곡이라 밑에 깔고요.
5,5,쌀 넣고
5,6,좁쌀 얹어 밥물 잡아요. 손가락 두마디정도에 오면 되어요밥물2컵(1컵=200ml) +2큰술
5,7,센불에서
5,8,"물이 끓으면 바로 약불로 10분, 초약불로5분, 불끄고3분 둡니다. 저는 누룽지를 할꺼라 초약불에 20분정도 더 두었어요.(누룽지할려면 약불10분, 초약불25~30분)약불이 방법은 솥밥도 똑같고요. 누룽지할꺼면 초약불에 더 둬요"
5,9,밥을 밑에 까지 공기를 넣는다싶게 뒤적거려 퍼줍니다.
5,10,잡곡밥이 참 맛있게 되었어요. 맨밑에 수수쌀을 넣었더니 수수쌀은 누룽지로 다 가버렸네요 ㅎ~
5,11,톡톡 터지는 수수쌀과 좁쌀과 달달한맛의 멥쌀. 조화 죽입니다.
5,12,밥을 다 푸면 누룽지가 앉아 있어요. 물 부어서 누룽지탕 끓여드셔도 되고요
5,13,약불놓고 냄비를 이리저리 옮기며 20분 더 두면 바삭한 누룽지과자가 됩니다.
6,1,"찹쌀, 수수, 차조, 삼색 보리를 넣을 거랍니다."
