recipe_id,food_id,요리,레시피 고유 번호,레시피 제목,요리명,요리 소개,스크랩수,재료,요리인분,요리 난이도,요리 시간,img
1,1,쌀밥,6890984,3종 곤약쌀밥/ 다이어트에 좋아요,곤약쌀밥,안녕하세요? 밥심은 국력입니다. 곤약쌀은 칼로리가 굉장히 낮은 곤약을 쌀로 만든 것인데요. 곤약이란 글루코만난 이란 수용성 식이섬유가 주성분으로 칼로리가 백미의 10분의 1에 불과하고 수분과 만나면 5배로 팽창하는 성질이 있구요. 그래서 곤약쌀밥은 백미쌀밥을 먹는 포만감을 누리면서도 섭취칼로리를 줄이게 해준답니다. 곤약쌀밥은 백미와 비율을 처음에는 쌀3:곤약쌀1로 하고 적응이 되면 1:1로 하셔도 좋아요. 오늘은 3가지 곤약쌀로 맛있는 곤약쌀밥을 만들어 보겠습니다.,22,[재료] 쌀눈곤약미 3컵| 쌀 1컵| 강황곤약미 3컵| 쌀 1컵| 아로니아곤약미 3컵| 쌀 1컵 ( 계량은 소주잔 )| 밥물 각 1+1/2종이컵,3인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/1/1_recipe_img.jpg
2,1,쌀밥,6836474,콜레스테롤을 낮춰주는 홍국쌀밥,쌀밥,홍국쌀은 붉은 누룩을 발효해 만든 쌀로 2천 년전 중국 한나라 황제가 황실 음식으로 먹었던 귀한 식재료로 알려져 있는데요. 홍국쌀은 발효과정에서 생성되는 모나콜린K 성분이 콜레스테롤 수치를 낮추고 혈관 개선에 도움을 줘 성인병 예방에 탁월하기 때문에 건강을 생각하는 이들에게 각광을 받고 있습니다. 또한 홍국쌀은 피를 잘 돌게해 소화를 도와 복통  설사 등에도 좋답니다. 또한 피부 미용 에도 탁월하답니다. 기본적으로 풍부한 영양을 지닌 쌀은 오래전부터 고운 피부를 위해 사용된 미용원료인데  홍국쌀은 피부 장벽을 강화 해주는 성분이 포함돼 보습효과가 더욱 뛰어나답니다. 귀하고 몸에 좋은 홍국쌀은 홍국쌀로 밥을 지을 때는 백미 10 : 홍국쌀 1의 비율로 섞으면 되구요. 홍국쌀은 씻지 않고 넣어야 한답니다. 홍국쌀을 씻을 경우 모나콜린K가 씻겨 나가기 때문에 씻지 않는 것이 좋습니다.,9,[재료] 쌀 10종지| 홍국쌀 1종지| 밥물 계량컵으로 2+1/2컵,4인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/2/2_recipe_img.jpg
3,2,기타잡곡밥,6877892,압력솥 밥 하는 법  잡곡밥 만들기,잡곡밥,친정집에 가면 유독 '밥'이 맛있게 느껴져요. 윤기는 차르르 흐르는 것이 단내까지 가득 나는 엄마표 쌀밥♡,101,[재료] 잡곡쌀 2컵| 물 2컵,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/3/3_recipe_img.jpg
4,2,기타잡곡밥,3450444,봄철 입맛없을때 딱이야~~시래기감자잡곡밥,잡곡밥,오늘은 봄향기 가득한 건강밥.웰빙밥 소개할께요~ 시래기와 감자 표고버섯 당근이 들어가 든든하구요 현미와 찰보리를 넣어 만든 건강밥이라죠~,96,[재료] 백미 1컵| 현미 1/2컵| 찰보리 1/2컵| 시래기(물기짠거) 100g| 감자(작은것) 2개| 건표고 10g| 당근 30g [달래양념장] 달래 10g| 간장 2큰술| 맛술 1큰술| 참기름 1/2큰술| 통깨 1작은술| 식초(선택) 1작은술,3인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/4/4_recipe_img.jpg
5,2,기타잡곡밥,6269473,귀리와 수수를 넣은 잡곡밥,잡곡밥,요즘 건강에 관심이 많아 이번엔 귀리와 수수를 넣고 밥을 지어봤어요 찰지고 쫀득함은 물론이고 당뇨나 고혈압  다이어트 등등..에 좋아 성장기 아이들이나 어르신까지~ 모두에게 좋은 잡곡이랍니다.,56,[재료] 귀리 4큰술| 수수 4큰술| 쌀 1공기| 물 3공기 정도,4인분,초급,90분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/5/5_recipe_img.jpg
6,2,기타잡곡밥,6903410,냄비밥  잡곡밥  누룽지 만들기,잡곡밥,냄비밥을 해요. 촉촉하고 윤기좔좔 맛있어요. 냄비밥의 특징은 누룽지를 맛있게 먹을수 있지요.,22,[재료] 멥쌀 2컵| 차 좁쌀 50g| 찰수수 쌀 50g| 밥물 430ml(2컵+2큰술),4인분,아무나,90분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/6/6_recipe_img.jpg
7,2,기타잡곡밥,6884763,단호박 잡곡밥 정월대보름 음식으로 먹어요,단호박잡곡밥,내일이 정월대보름이네요. 아침에 시어머님이 나물을 해서 가져다주셨어요. 집에 있는 잡곡이랑 3가지 더 사 와서 단호박 잡곡밥을 만들어봤어요. 오곡밥으로 찹쌀  수수  팥  차조  검은콩을 넣어서 하지만 제가 콩이랑 팥을 좋아하지 않는 관계로 잡곡밥으로 변경했어요. 설날  추석 다음으로 큰 명절이 정월대보름인거 같아요. 아침에 부럼도 하시고 귀밝이술과 오곡밥이랑 나물도 드시고요. 더위도 팔아보세요. ^^,16,[재료] 단호박| 각종잡곡| 쌀| 물,2인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/7/7_recipe_img.jpg
8,3,콩밥,6829735,병아리콩 밥짓기,병아리콩밥,병아리콩을 먹기 좋게 삶는 방법과 병아리콩을 넣어 밥 짓는 과정을 소개합니다.,89,[재료] 병아리콩 500g| 쌀 2컵 [양념] 소금 1작은술,5인분,초급,2시간이상,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/8/8_recipe_img.jpg
9,3,콩밥,6882610,【천연 탄수화물 차단제】먹으면서 다이어트 하는 흰강낭콩밥 만들기~,강낭콩밥,다이어트 하시는 분들을 위해서 도움 되시라고 올려 보아요^~^ ,87,[재료] 흰강낭콩(네이비빈) 200g| 쌀 300g,6인분이상,아무나,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/9/9_recipe_img.jpg
10,3,콩밥,4941051,구수한 완두콩밥,완두콩밥,요즘 한창 나오고 있는 완두콩밥 만들어봐요~,79,[재료] 백미| 완두콩| 물,4인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/10/10_recipe_img.jpg
